window	inflight	count	first_start_ns	first_end_ns	last_end_ns	total_e2e_ns	avg_delta_ns	median_delta_ns	steady_avg_gap_ns	steady_median_gap_ns	steady_throughput_mrps	correctness_fail_count
0	1	31	10134760665	10134853695	10134901909	141244	4518.968	1527.000	1607.133	1565.000	0.622226	0
1	2	31	10190653865	10190745279	10190776720	122855	6249.484	2059.000	1037.586	1048.000	0.963775	0
2	3	31	9618435420	9618579628	9618610678	175258	13878.806	3105.000	1027.286	1045.000	0.973439	0
4	5	31	10159813338	10159906759	10159936276	122938	12690.613	5210.000	972.308	1044.000	1.028481	0
8	9	31	14073678856	14073771198	14073798155	119299	20851.581	8959.000	856.045	898.000	1.168162	0
16	17	31	9796664885	9796756950	9796778756	113871	33518.806	44214.000	589.286	602.500	1.696970	0
